Job title,Job location,Department,Offered salary,Description of the company,Job description,Requirements/qualifications,Offered benefits,"Full-time, part-time, etc.",Experience required,Sector,Job function,fraudulent
Fake Job Title 70,"New York, NY",HR,$5000/month,This is a fake company profile for job 70.,This is a suspicious job description for position 70.,No experience required,Unclear benefits,Part-time,None,Unknown,Clickbait Recruitment,1
Real Job Title 142,"New York, NY",HR,$3000/month,This is a reputable company profile for job 142.,This is a genuine job description for position 142.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Part-time,2 years,Information Technology,Software Engineering,0
Fake Job Title 1356,"New York, NY",HR,$5000/month,This is a fake company profile for job 1356.,This is a suspicious job description for position 1356.,No experience required,Unclear benefits,Part-time,None,Unknown,Clickbait Recruitment,1
Real Job Title 492,"New York, NY",HR,$3000/month,This is a reputable company profile for job 492.,This is a genuine job description for position 492.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Part-time,2 years,Information Technology,Software Engineering,0
Real Job Title 199,Remote,Operations,$3000/month,This is a reputable company profile for job 199.,This is a genuine job description for position 199.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Full-time,2 years,Information Technology,Software Engineering,0
Real Job Title 1789,Remote,Operations,$3000/month,This is a reputable company profile for job 1789.,This is a genuine job description for position 1789.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Full-time,2 years,Information Technology,Software Engineering,0
Fake Job Title 527,Remote,Operations,$5000/month,This is a fake company profile for job 527.,This is a suspicious job description for position 527.,No experience required,Unclear benefits,Full-time,None,Unknown,Clickbait Recruitment,1
Fake Job Title 1925,Remote,Operations,$5000/month,This is a fake company profile for job 1925.,This is a suspicious job description for position 1925.,No experience required,Unclear benefits,Full-time,None,Unknown,Clickbait Recruitment,1
Real Job Title 1457,Remote,Operations,$3000/month,This is a reputable company profile for job 1457.,This is a genuine job description for position 1457.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Full-time,2 years,Information Technology,Software Engineering,0
Real Job Title 196,"New York, NY",HR,$3000/month,This is a reputable company profile for job 196.,This is a genuine job description for position 196.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Part-time,2 years,Information Technology,Software Engineering,0
Real Job Title 875,Remote,Operations,$3000/month,This is a reputable company profile for job 875.,This is a genuine job description for position 875.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Full-time,2 years,Information Technology,Software Engineering,0
Fake Job Title 440,"New York, NY",HR,$5000/month,This is a fake company profile for job 440.,This is a suspicious job description for position 440.,No experience required,Unclear benefits,Part-time,None,Unknown,Clickbait Recruitment,1
Fake Job Title 1824,"New York, NY",HR,$5000/month,This is a fake company profile for job 1824.,This is a suspicious job description for position 1824.,No experience required,Unclear benefits,Part-time,None,Unknown,Clickbait Recruitment,1
Real Job Title 841,Remote,Operations,$3000/month,This is a reputable company profile for job 841.,This is a genuine job description for position 841.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Full-time,2 years,Information Technology,Software Engineering,0
Real Job Title 582,"New York, NY",HR,$3000/month,This is a reputable company profile for job 582.,This is a genuine job description for position 582.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Part-time,2 years,Information Technology,Software Engineering,0
Fake Job Title 1949,Remote,Operations,$5000/month,This is a fake company profile for job 1949.,This is a suspicious job description for position 1949.,No experience required,Unclear benefits,Full-time,None,Unknown,Clickbait Recruitment,1
Real Job Title 906,"New York, NY",HR,$3000/month,This is a reputable company profile for job 906.,This is a genuine job description for position 906.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Part-time,2 years,Information Technology,Software Engineering,0
Real Job Title 632,"New York, NY",HR,$3000/month,This is a reputable company profile for job 632.,This is a genuine job description for position 632.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Part-time,2 years,Information Technology,Software Engineering,0
Fake Job Title 577,Remote,Operations,$5000/month,This is a fake company profile for job 577.,This is a suspicious job description for position 577.,No experience required,Unclear benefits,Full-time,None,Unknown,Clickbait Recruitment,1
Real Job Title 163,Remote,Operations,$3000/month,This is a reputable company profile for job 163.,This is a genuine job description for position 163.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Full-time,2 years,Information Technology,Software Engineering,0
Fake Job Title 74,"New York, NY",HR,$5000/month,This is a fake company profile for job 74.,This is a suspicious job description for position 74.,No experience required,Unclear benefits,Part-time,None,Unknown,Clickbait Recruitment,1
Fake Job Title 81,Remote,Operations,$5000/month,This is a fake company profile for job 81.,This is a suspicious job description for position 81.,No experience required,Unclear benefits,Full-time,None,Unknown,Clickbait Recruitment,1
Real Job Title 1761,Remote,Operations,$3000/month,This is a reputable company profile for job 1761.,This is a genuine job description for position 1761.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Full-time,2 years,Information Technology,Software Engineering,0
Fake Job Title 662,"New York, NY",HR,$5000/month,This is a fake company profile for job 662.,This is a suspicious job description for position 662.,No experience required,Unclear benefits,Part-time,None,Unknown,Clickbait Recruitment,1
Real Job Title 926,"New York, NY",HR,$3000/month,This is a reputable company profile for job 926.,This is a genuine job description for position 926.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Part-time,2 years,Information Technology,Software Engineering,0
Real Job Title 1833,Remote,Operations,$3000/month,This is a reputable company profile for job 1833.,This is a genuine job description for position 1833.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Full-time,2 years,Information Technology,Software Engineering,0
Real Job Title 548,"New York, NY",HR,$3000/month,This is a reputable company profile for job 548.,This is a genuine job description for position 548.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Part-time,2 years,Information Technology,Software Engineering,0
Fake Job Title 294,"New York, NY",HR,$5000/month,This is a fake company profile for job 294.,This is a suspicious job description for position 294.,No experience required,Unclear benefits,Part-time,None,Unknown,Clickbait Recruitment,1
Real Job Title 1189,Remote,Operations,$3000/month,This is a reputable company profile for job 1189.,This is a genuine job description for position 1189.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Full-time,2 years,Information Technology,Software Engineering,0
Real Job Title 2000,"New York, NY",HR,$3000/month,This is a reputable company profile for job 2000.,This is a genuine job description for position 2000.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Part-time,2 years,Information Technology,Software Engineering,0
Fake Job Title 98,"New York, NY",HR,$5000/month,This is a fake company profile for job 98.,This is a suspicious job description for position 98.,No experience required,Unclear benefits,Part-time,None,Unknown,Clickbait Recruitment,1
Real Job Title 612,"New York, NY",HR,$3000/month,This is a reputable company profile for job 612.,This is a genuine job description for position 612.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Part-time,2 years,Information Technology,Software Engineering,0
Fake Job Title 195,Remote,Operations,$5000/month,This is a fake company profile for job 195.,This is a suspicious job description for position 195.,No experience required,Unclear benefits,Full-time,None,Unknown,Clickbait Recruitment,1
Fake Job Title 1662,"New York, NY",HR,$5000/month,This is a fake company profile for job 1662.,This is a suspicious job description for position 1662.,No experience required,Unclear benefits,Part-time,None,Unknown,Clickbait Recruitment,1
Real Job Title 1508,"New York, NY",HR,$3000/month,This is a reputable company profile for job 1508.,This is a genuine job description for position 1508.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Part-time,2 years,Information Technology,Software Engineering,0
Real Job Title 1870,"New York, NY",HR,$3000/month,This is a reputable company profile for job 1870.,This is a genuine job description for position 1870.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Part-time,2 years,Information Technology,Software Engineering,0
Real Job Title 743,Remote,Operations,$3000/month,This is a reputable company profile for job 743.,This is a genuine job description for position 743.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Full-time,2 years,Information Technology,Software Engineering,0
Real Job Title 638,"New York, NY",HR,$3000/month,This is a reputable company profile for job 638.,This is a genuine job description for position 638.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Part-time,2 years,Information Technology,Software Engineering,0
Fake Job Title 1536,"New York, NY",HR,$5000/month,This is a fake company profile for job 1536.,This is a suspicious job description for position 1536.,No experience required,Unclear benefits,Part-time,None,Unknown,Clickbait Recruitment,1
Fake Job Title 16,"New York, NY",HR,$5000/month,This is a fake company profile for job 16.,This is a suspicious job description for position 16.,No experience required,Unclear benefits,Part-time,None,Unknown,Clickbait Recruitment,1
Fake Job Title 1762,"New York, NY",HR,$5000/month,This is a fake company profile for job 1762.,This is a suspicious job description for position 1762.,No experience required,Unclear benefits,Part-time,None,Unknown,Clickbait Recruitment,1
Real Job Title 1098,"New York, NY",HR,$3000/month,This is a reputable company profile for job 1098.,This is a genuine job description for position 1098.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Part-time,2 years,Information Technology,Software Engineering,0
Real Job Title 1484,"New York, NY",HR,$3000/month,This is a reputable company profile for job 1484.,This is a genuine job description for position 1484.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Part-time,2 years,Information Technology,Software Engineering,0
Real Job Title 49,Remote,Operations,$3000/month,This is a reputable company profile for job 49.,This is a genuine job description for position 49.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Full-time,2 years,Information Technology,Software Engineering,0
Real Job Title 1352,"New York, NY",HR,$3000/month,This is a reputable company profile for job 1352.,This is a genuine job description for position 1352.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Part-time,2 years,Information Technology,Software Engineering,0
Real Job Title 922,"New York, NY",HR,$3000/month,This is a reputable company profile for job 922.,This is a genuine job description for position 922.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Part-time,2 years,Information Technology,Software Engineering,0
Fake Job Title 1563,Remote,Operations,$5000/month,This is a fake company profile for job 1563.,This is a suspicious job description for position 1563.,No experience required,Unclear benefits,Full-time,None,Unknown,Clickbait Recruitment,1
Real Job Title 757,Remote,Operations,$3000/month,This is a reputable company profile for job 757.,This is a genuine job description for position 757.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Full-time,2 years,Information Technology,Software Engineering,0
Fake Job Title 125,Remote,Operations,$5000/month,This is a fake company profile for job 125.,This is a suspicious job description for position 125.,No experience required,Unclear benefits,Full-time,None,Unknown,Clickbait Recruitment,1
Fake Job Title 367,Remote,Operations,$5000/month,This is a fake company profile for job 367.,This is a suspicious job description for position 367.,No experience required,Unclear benefits,Full-time,None,Unknown,Clickbait Recruitment,1
Real Job Title 1468,"New York, NY",HR,$3000/month,This is a reputable company profile for job 1468.,This is a genuine job description for position 1468.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Part-time,2 years,Information Technology,Software Engineering,0
Fake Job Title 1643,Remote,Operations,$5000/month,This is a fake company profile for job 1643.,This is a suspicious job description for position 1643.,No experience required,Unclear benefits,Full-time,None,Unknown,Clickbait Recruitment,1
Real Job Title 1695,Remote,Operations,$3000/month,This is a reputable company profile for job 1695.,This is a genuine job description for position 1695.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Full-time,2 years,Information Technology,Software Engineering,0
Real Job Title 1323,Remote,Operations,$3000/month,This is a reputable company profile for job 1323.,This is a genuine job description for position 1323.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Full-time,2 years,Information Technology,Software Engineering,0
Real Job Title 1177,Remote,Operations,$3000/month,This is a reputable company profile for job 1177.,This is a genuine job description for position 1177.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Full-time,2 years,Information Technology,Software Engineering,0
Real Job Title 1948,"New York, NY",HR,$3000/month,This is a reputable company profile for job 1948.,This is a genuine job description for position 1948.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Part-time,2 years,Information Technology,Software Engineering,0
Real Job Title 1214,"New York, NY",HR,$3000/month,This is a reputable company profile for job 1214.,This is a genuine job description for position 1214.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Part-time,2 years,Information Technology,Software Engineering,0
Fake Job Title 1934,"New York, NY",HR,$5000/month,This is a fake company profile for job 1934.,This is a suspicious job description for position 1934.,No experience required,Unclear benefits,Part-time,None,Unknown,Clickbait Recruitment,1
Fake Job Title 534,"New York, NY",HR,$5000/month,This is a fake company profile for job 534.,This is a suspicious job description for position 534.,No experience required,Unclear benefits,Part-time,None,Unknown,Clickbait Recruitment,1
Fake Job Title 288,"New York, NY",HR,$5000/month,This is a fake company profile for job 288.,This is a suspicious job description for position 288.,No experience required,Unclear benefits,Part-time,None,Unknown,Clickbait Recruitment,1
Fake Job Title 782,"New York, NY",HR,$5000/month,This is a fake company profile for job 782.,This is a suspicious job description for position 782.,No experience required,Unclear benefits,Part-time,None,Unknown,Clickbait Recruitment,1
Fake Job Title 678,"New York, NY",HR,$5000/month,This is a fake company profile for job 678.,This is a suspicious job description for position 678.,No experience required,Unclear benefits,Part-time,None,Unknown,Clickbait Recruitment,1
Real Job Title 1071,Remote,Operations,$3000/month,This is a reputable company profile for job 1071.,This is a genuine job description for position 1071.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Full-time,2 years,Information Technology,Software Engineering,0
Fake Job Title 1730,"New York, NY",HR,$5000/month,This is a fake company profile for job 1730.,This is a suspicious job description for position 1730.,No experience required,Unclear benefits,Part-time,None,Unknown,Clickbait Recruitment,1
Fake Job Title 831,Remote,Operations,$5000/month,This is a fake company profile for job 831.,This is a suspicious job description for position 831.,No experience required,Unclear benefits,Full-time,None,Unknown,Clickbait Recruitment,1
Fake Job Title 442,"New York, NY",HR,$5000/month,This is a fake company profile for job 442.,This is a suspicious job description for position 442.,No experience required,Unclear benefits,Part-time,None,Unknown,Clickbait Recruitment,1
Fake Job Title 1604,"New York, NY",HR,$5000/month,This is a fake company profile for job 1604.,This is a suspicious job description for position 1604.,No experience required,Unclear benefits,Part-time,None,Unknown,Clickbait Recruitment,1
Real Job Title 1715,Remote,Operations,$3000/month,This is a reputable company profile for job 1715.,This is a genuine job description for position 1715.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Full-time,2 years,Information Technology,Software Engineering,0
Fake Job Title 1022,"New York, NY",HR,$5000/month,This is a fake company profile for job 1022.,This is a suspicious job description for position 1022.,No experience required,Unclear benefits,Part-time,None,Unknown,Clickbait Recruitment,1
Fake Job Title 197,Remote,Operations,$5000/month,This is a fake company profile for job 197.,This is a suspicious job description for position 197.,No experience required,Unclear benefits,Full-time,None,Unknown,Clickbait Recruitment,1
Real Job Title 1150,"New York, NY",HR,$3000/month,This is a reputable company profile for job 1150.,This is a genuine job description for position 1150.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Part-time,2 years,Information Technology,Software Engineering,0
Fake Job Title 1087,Remote,Operations,$5000/month,This is a fake company profile for job 1087.,This is a suspicious job description for position 1087.,No experience required,Unclear benefits,Full-time,None,Unknown,Clickbait Recruitment,1
Fake Job Title 229,Remote,Operations,$5000/month,This is a fake company profile for job 229.,This is a suspicious job description for position 229.,No experience required,Unclear benefits,Full-time,None,Unknown,Clickbait Recruitment,1
Fake Job Title 964,"New York, NY",HR,$5000/month,This is a fake company profile for job 964.,This is a suspicious job description for position 964.,No experience required,Unclear benefits,Part-time,None,Unknown,Clickbait Recruitment,1
Fake Job Title 610,"New York, NY",HR,$5000/month,This is a fake company profile for job 610.,This is a suspicious job description for position 610.,No experience required,Unclear benefits,Part-time,None,Unknown,Clickbait Recruitment,1
Real Job Title 1552,"New York, NY",HR,$3000/month,This is a reputable company profile for job 1552.,This is a genuine job description for position 1552.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Part-time,2 years,Information Technology,Software Engineering,0
Fake Job Title 555,Remote,Operations,$5000/month,This is a fake company profile for job 555.,This is a suspicious job description for position 555.,No experience required,Unclear benefits,Full-time,None,Unknown,Clickbait Recruitment,1
Real Job Title 1289,Remote,Operations,$3000/month,This is a reputable company profile for job 1289.,This is a genuine job description for position 1289.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Full-time,2 years,Information Technology,Software Engineering,0
Fake Job Title 1862,"New York, NY",HR,$5000/month,This is a fake company profile for job 1862.,This is a suspicious job description for position 1862.,No experience required,Unclear benefits,Part-time,None,Unknown,Clickbait Recruitment,1
Fake Job Title 808,"New York, NY",HR,$5000/month,This is a fake company profile for job 808.,This is a suspicious job description for position 808.,No experience required,Unclear benefits,Part-time,None,Unknown,Clickbait Recruitment,1
Real Job Title 1642,"New York, NY",HR,$3000/month,This is a reputable company profile for job 1642.,This is a genuine job description for position 1642.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Part-time,2 years,Information Technology,Software Engineering,0
Real Job Title 868,"New York, NY",HR,$3000/month,This is a reputable company profile for job 868.,This is a genuine job description for position 868.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Part-time,2 years,Information Technology,Software Engineering,0
Real Job Title 927,Remote,Operations,$3000/month,This is a reputable company profile for job 927.,This is a genuine job description for position 927.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Full-time,2 years,Information Technology,Software Engineering,0
Fake Job Title 1211,Remote,Operations,$5000/month,This is a fake company profile for job 1211.,This is a suspicious job description for position 1211.,No experience required,Unclear benefits,Full-time,None,Unknown,Clickbait Recruitment,1
Real Job Title 998,"New York, NY",HR,$3000/month,This is a reputable company profile for job 998.,This is a genuine job description for position 998.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Part-time,2 years,Information Technology,Software Engineering,0
Fake Job Title 1021,Remote,Operations,$5000/month,This is a fake company profile for job 1021.,This is a suspicious job description for position 1021.,No experience required,Unclear benefits,Full-time,None,Unknown,Clickbait Recruitment,1
Real Job Title 1830,"New York, NY",HR,$3000/month,This is a reputable company profile for job 1830.,This is a genuine job description for position 1830.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Part-time,2 years,Information Technology,Software Engineering,0
Real Job Title 1133,Remote,Operations,$3000/month,This is a reputable company profile for job 1133.,This is a genuine job description for position 1133.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Full-time,2 years,Information Technology,Software Engineering,0
Real Job Title 1341,Remote,Operations,$3000/month,This is a reputable company profile for job 1341.,This is a genuine job description for position 1341.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Full-time,2 years,Information Technology,Software Engineering,0
Fake Job Title 1675,Remote,Operations,$5000/month,This is a fake company profile for job 1675.,This is a suspicious job description for position 1675.,No experience required,Unclear benefits,Full-time,None,Unknown,Clickbait Recruitment,1
Real Job Title 211,Remote,Operations,$3000/month,This is a reputable company profile for job 211.,This is a genuine job description for position 211.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Full-time,2 years,Information Technology,Software Engineering,0
Fake Job Title 1980,"New York, NY",HR,$5000/month,This is a fake company profile for job 1980.,This is a suspicious job description for position 1980.,No experience required,Unclear benefits,Part-time,None,Unknown,Clickbait Recruitment,1
Real Job Title 60,"New York, NY",HR,$3000/month,This is a reputable company profile for job 60.,This is a genuine job description for position 60.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Part-time,2 years,Information Technology,Software Engineering,0
Fake Job Title 1671,Remote,Operations,$5000/month,This is a fake company profile for job 1671.,This is a suspicious job description for position 1671.,No experience required,Unclear benefits,Full-time,None,Unknown,Clickbait Recruitment,1
Fake Job Title 620,"New York, NY",HR,$5000/month,This is a fake company profile for job 620.,This is a suspicious job description for position 620.,No experience required,Unclear benefits,Part-time,None,Unknown,Clickbait Recruitment,1
Fake Job Title 1898,"New York, NY",HR,$5000/month,This is a fake company profile for job 1898.,This is a suspicious job description for position 1898.,No experience required,Unclear benefits,Part-time,None,Unknown,Clickbait Recruitment,1
Fake Job Title 1947,Remote,Operations,$5000/month,This is a fake company profile for job 1947.,This is a suspicious job description for position 1947.,No experience required,Unclear benefits,Full-time,None,Unknown,Clickbait Recruitment,1
Real Job Title 766,"New York, NY",HR,$3000/month,This is a reputable company profile for job 766.,This is a genuine job description for position 766.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Part-time,2 years,Information Technology,Software Engineering,0
Fake Job Title 103,Remote,Operations,$5000/month,This is a fake company profile for job 103.,This is a suspicious job description for position 103.,No experience required,Unclear benefits,Full-time,None,Unknown,Clickbait Recruitment,1
Fake Job Title 1230,"New York, NY",HR,$5000/month,This is a fake company profile for job 1230.,This is a suspicious job description for position 1230.,No experience required,Unclear benefits,Part-time,None,Unknown,Clickbait Recruitment,1
Real Job Title 1079,Remote,Operations,$3000/month,This is a reputable company profile for job 1079.,This is a genuine job description for position 1079.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Full-time,2 years,Information Technology,Software Engineering,0
Fake Job Title 660,"New York, NY",HR,$5000/month,This is a fake company profile for job 660.,This is a suspicious job description for position 660.,No experience required,Unclear benefits,Part-time,None,Unknown,Clickbait Recruitment,1
Fake Job Title 1743,Remote,Operations,$5000/month,This is a fake company profile for job 1743.,This is a suspicious job description for position 1743.,No experience required,Unclear benefits,Full-time,None,Unknown,Clickbait Recruitment,1
Fake Job Title 45,Remote,Operations,$5000/month,This is a fake company profile for job 45.,This is a suspicious job description for position 45.,No experience required,Unclear benefits,Full-time,None,Unknown,Clickbait Recruitment,1
Fake Job Title 67,Remote,Operations,$5000/month,This is a fake company profile for job 67.,This is a suspicious job description for position 67.,No experience required,Unclear benefits,Full-time,None,Unknown,Clickbait Recruitment,1
Real Job Title 583,Remote,Operations,$3000/month,This is a reputable company profile for job 583.,This is a genuine job description for position 583.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Full-time,2 years,Information Technology,Software Engineering,0
Fake Job Title 124,"New York, NY",HR,$5000/month,This is a fake company profile for job 124.,This is a suspicious job description for position 124.,No experience required,Unclear benefits,Part-time,None,Unknown,Clickbait Recruitment,1
Fake Job Title 1529,Remote,Operations,$5000/month,This is a fake company profile for job 1529.,This is a suspicious job description for position 1529.,No experience required,Unclear benefits,Full-time,None,Unknown,Clickbait Recruitment,1
Fake Job Title 1617,Remote,Operations,$5000/month,This is a fake company profile for job 1617.,This is a suspicious job description for position 1617.,No experience required,Unclear benefits,Full-time,None,Unknown,Clickbait Recruitment,1
Real Job Title 941,Remote,Operations,$3000/month,This is a reputable company profile for job 941.,This is a genuine job description for position 941.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Full-time,2 years,Information Technology,Software Engineering,0
Real Job Title 1081,Remote,Operations,$3000/month,This is a reputable company profile for job 1081.,This is a genuine job description for position 1081.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Full-time,2 years,Information Technology,Software Engineering,0
Real Job Title 188,"New York, NY",HR,$3000/month,This is a reputable company profile for job 188.,This is a genuine job description for position 188.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Part-time,2 years,Information Technology,Software Engineering,0
Fake Job Title 1106,"New York, NY",HR,$5000/month,This is a fake company profile for job 1106.,This is a suspicious job description for position 1106.,No experience required,Unclear benefits,Part-time,None,Unknown,Clickbait Recruitment,1
Fake Job Title 311,Remote,Operations,$5000/month,This is a fake company profile for job 311.,This is a suspicious job description for position 311.,No experience required,Unclear benefits,Full-time,None,Unknown,Clickbait Recruitment,1
Fake Job Title 677,Remote,Operations,$5000/month,This is a fake company profile for job 677.,This is a suspicious job description for position 677.,No experience required,Unclear benefits,Full-time,None,Unknown,Clickbait Recruitment,1
Fake Job Title 1095,Remote,Operations,$5000/month,This is a fake company profile for job 1095.,This is a suspicious job description for position 1095.,No experience required,Unclear benefits,Full-time,None,Unknown,Clickbait Recruitment,1
Fake Job Title 1820,"New York, NY",HR,$5000/month,This is a fake company profile for job 1820.,This is a suspicious job description for position 1820.,No experience required,Unclear benefits,Part-time,None,Unknown,Clickbait Recruitment,1
Real Job Title 1601,Remote,Operations,$3000/month,This is a reputable company profile for job 1601.,This is a genuine job description for position 1601.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Full-time,2 years,Information Technology,Software Engineering,0
Fake Job Title 1857,Remote,Operations,$5000/month,This is a fake company profile for job 1857.,This is a suspicious job description for position 1857.,No experience required,Unclear benefits,Full-time,None,Unknown,Clickbait Recruitment,1
Real Job Title 227,Remote,Operations,$3000/month,This is a reputable company profile for job 227.,This is a genuine job description for position 227.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Full-time,2 years,Information Technology,Software Engineering,0
Real Job Title 1613,Remote,Operations,$3000/month,This is a reputable company profile for job 1613.,This is a genuine job description for position 1613.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Full-time,2 years,Information Technology,Software Engineering,0
Real Job Title 536,"New York, NY",HR,$3000/month,This is a reputable company profile for job 536.,This is a genuine job description for position 536.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Part-time,2 years,Information Technology,Software Engineering,0
Fake Job Title 1849,Remote,Operations,$5000/month,This is a fake company profile for job 1849.,This is a suspicious job description for position 1849.,No experience required,Unclear benefits,Full-time,None,Unknown,Clickbait Recruitment,1
Fake Job Title 1216,"New York, NY",HR,$5000/month,This is a fake company profile for job 1216.,This is a suspicious job description for position 1216.,No experience required,Unclear benefits,Part-time,None,Unknown,Clickbait Recruitment,1
Fake Job Title 1127,Remote,Operations,$5000/month,This is a fake company profile for job 1127.,This is a suspicious job description for position 1127.,No experience required,Unclear benefits,Full-time,None,Unknown,Clickbait Recruitment,1
Real Job Title 698,"New York, NY",HR,$3000/month,This is a reputable company profile for job 698.,This is a genuine job description for position 698.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Part-time,2 years,Information Technology,Software Engineering,0
Fake Job Title 1614,"New York, NY",HR,$5000/month,This is a fake company profile for job 1614.,This is a suspicious job description for position 1614.,No experience required,Unclear benefits,Part-time,None,Unknown,Clickbait Recruitment,1
Fake Job Title 375,Remote,Operations,$5000/month,This is a fake company profile for job 375.,This is a suspicious job description for position 375.,No experience required,Unclear benefits,Full-time,None,Unknown,Clickbait Recruitment,1
Real Job Title 1778,"New York, NY",HR,$3000/month,This is a reputable company profile for job 1778.,This is a genuine job description for position 1778.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Part-time,2 years,Information Technology,Software Engineering,0
Fake Job Title 1625,Remote,Operations,$5000/month,This is a fake company profile for job 1625.,This is a suspicious job description for position 1625.,No experience required,Unclear benefits,Full-time,None,Unknown,Clickbait Recruitment,1
Fake Job Title 805,Remote,Operations,$5000/month,This is a fake company profile for job 805.,This is a suspicious job description for position 805.,No experience required,Unclear benefits,Full-time,None,Unknown,Clickbait Recruitment,1
Real Job Title 1038,"New York, NY",HR,$3000/month,This is a reputable company profile for job 1038.,This is a genuine job description for position 1038.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Part-time,2 years,Information Technology,Software Engineering,0
Real Job Title 209,Remote,Operations,$3000/month,This is a reputable company profile for job 209.,This is a genuine job description for position 209.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Full-time,2 years,Information Technology,Software Engineering,0
Real Job Title 1847,Remote,Operations,$3000/month,This is a reputable company profile for job 1847.,This is a genuine job description for position 1847.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Full-time,2 years,Information Technology,Software Engineering,0
Real Job Title 566,"New York, NY",HR,$3000/month,This is a reputable company profile for job 566.,This is a genuine job description for position 566.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Part-time,2 years,Information Technology,Software Engineering,0
Real Job Title 314,"New York, NY",HR,$3000/month,This is a reputable company profile for job 314.,This is a genuine job description for position 314.,Bachelor's degree and 2 years experience.,"Health insurance, PTO, 401k",Part-time,2 years,Information Technology,Software Engineering,0
